rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
126,HATS-9,b,Transit,1,1.9153073,0.03048,0.129,0.85,86.5,290.810104,-20.166317,5366,1.03,1.5,,HATS-9 b,1359,266.02371,11.938,3,0,21/05/15,0.23
127,HD 114762,b,Radial Velocity,1,83.9151,0.353,0.3354,,,198.08226,17.517122,5673,0.83,1.24,HD 114762,HD 114762 b,1361,,12.44,3,0,17/12/14,
128,HD 1461,b,Radial Velocity,2,5.77267,,0.16,,,4.674448,-8.053001,,,,HD 1461,HD 1461 b,1379,,0.83,3,0,24/04/15,
129,HD 149026,b,Radial Velocity,1,2.8766,0.042,0,,85.3,247.623413,38.347309,6147,1.3,1.45,HD 149026,HD 149026 b,1384,,8.127,3,0,15/10/14,0.43
130,HD 156668,b,Radial Velocity,1,4.6426,,0.22,,,259.418701,29.227226,,,,HD 156668,HD 156668 b,1387,,0.85,3,0,24/04/15,
131,HD 17156,b,Radial Velocity,1,21.2163979,,0.6768,,86.49,42.435364,71.753235,,1.275,1.51,HD 17156,HD 17156 b,1407,1014.153,12.274,3,0,29/10/14,
132,HD 17156,b,Radial Velocity,1,21.21663,0.1614,0.6819,3.78,87.89,42.435364,71.753235,6100,1.24,1.44,HD 17156,HD 17156 b,1413,1023.37,11.43,3,0,29/10/14,0.412
133,HD 189733,b,Radial Velocity,1,2.219,0.0313,0,0.75,85.3,300.182129,22.710854,5050,0.82,0.76,HD 189733,HD 189733 b,1418,365.49,14.12,3,0,21/08/14,
134,HD 189733,b,Radial Velocity,1,2.2,0.031,0,0.96,,300.182129,22.710854,,,,HD 189733,HD 189733 b,1428,349.6,12.3,3,0,12/02/15,
135,HD 209458,b,Radial Velocity,1,3.5,0.047,0,0.34,,330.794891,18.884319,,,,HD 209458,HD 209458 b,1438,219.29,15.7,3,0,12/02/15,
136,HD 209458,b,Radial Velocity,1,3.5239,0.046,0,0.27,,330.794891,18.884319,6025,1.03,1.15,HD 209458,HD 209458 b,1440,197.05,15.92,3,0,21/08/14,
137,HD 219134,b,Radial Velocity,6,3.0935,0.0382,0.02,5.89,85.058,348.32074,57.168354,4699,0.78,0.78,HD 219134,HD 219134 b,1442,,1.606,3,0,28/01/16,-0.577
138,HD 63454,b,Radial Velocity,1,2.818049,0.0368,0,,,114.841049,-78.278969,4840,0.84,1.05,HD 63454,HD 63454 b,1450,,12.31,3,0,26/03/15,
139,HD 7924,b,Radial Velocity,3,5.39699,,0,,,20.496313,76.710281,,,,HD 7924,HD 7924 b,1450,,1.06,3,0,24/04/15,
140,HD 80606,b,Radial Velocity,1,111.4357,0.449,0.9332,,89.32,140.65654,50.603722,,0.97,0.98,HD 80606,HD 80606 b,1458,1252.2,10.98,3,0,14/05/14,
