pdes,a,e,M,pha
18890,1.917266598714956,.07415289547460753,74.19887395240693,N
18929,1.920085310900712,.09113563553025752,180.6381695602313,N
19011,1.931245043492022,.03953150227909314,340.035350087712,N
19164,1.855699310836034,.0543582705836135,346.0057247634878,N
19247,1.869720308221926,.06401819572579472,68.39319230424684,N
19537,1.960742391290555,.05959731717607547,246.1477218705435,N
20043,1.969201914622156,.05751146758256551,98.10387476645249,N
20136,1.930588084349709,.06437630907204092,104.5541297667374,N
20231,1.948221035718511,.1256525410970578,299.9721340236905,N
20936,1.854300443407475,.1012135428535999,109.7193367056704,N
20996,1.911687967982038,.04971492002972912,38.56227232013286,N
21149,1.932516090211801,.03581894472628905,82.66177392130788,N
21260,1.927763126340148,.09436320546823798,251.6403503786327,N
21261,1.943248177775879,.08830698761700979,194.9645928655322,N
21688,1.922355980412802,.07548397667938,359.6892540571203,N
22195,1.902313712475126,.03441996678748098,219.8800654183697,N
22790,1.894902330267092,.06299864257063963,59.50002769409588,N
23452,1.961623983075455,.0947241384203987,306.9676460255293,N
23482,1.885871483407704,.08258198679313611,19.06049365748532,N
23615,1.960451507045748,.1002022717046367,10.4114228223847,N
23715,1.931163097182137,.08227388903428487,45.37327374946874,N
23974,1.919414242744945,.1018157577504584,253.0832474459352,N
23998,1.934587630904725,.05283256499113911,183.4948683648057,N
24042,1.954905861732252,.05640477567695598,82.9943469379959,N
24077,1.961139672691721,.05459857108242398,56.21091137080204,N
24457,1.928171203113792,.0877371792861061,167.4990869081616,N
24465,1.925312129621601,.08516930036906008,252.6858459776718,N
24481,1.919191673950294,.08980225152734589,268.5802500056445,N
24644,1.898917648336177,.07359674878949704,289.2238358811292,N
24687,1.951431239335217,.06156684635776986,133.8239237151237,N
24702,1.944759470894229,.09035992723448902,320.1401189674527,N
24778,1.946613863272711,.04605470720583998,116.0604557019233,N
24815,1.924418634030651,.1016566182785997,299.5961793429964,N
24881,1.981055290923455,.07163985431657138,15.15821978613043,N
25076,1.924782988304551,.0828489229451471,191.1668000023845,N
25318,1.92779836925114,.07126058264423148,191.4391614146674,N
25320,1.925656219809711,.1023557898572177,1.797053322612737,N
25325,1.931070074582324,.07267004884530343,146.1421618125162,N
25332,1.892159815133765,.06208965832069881,78.41125249422579,N
25337,1.919207297192836,.06486212948982349,283.1593317148008,N
25339,1.97073457926268,.1090547816934249,295.8062488117847,N
25340,1.967784052105949,.07456621377129921,316.3163305403297,N
25884,1.95425433858442,.08029655217395332,273.559358768998,N
25892,1.91398519415985,.08040869232435162,290.09725410034,N
