name,N,i,w,a,e,M,pha
Tolosa,54.76287714412286,3.203868057829633,260.8275673960882,2.448647963795586,.1621908765757893,296.8447296927739,N
Juewa,1.834360640680781,10.91257485008636,165.6212388842798,2.781641982057541,.1757653211298139,17.72033453307782,N
Siwa,107.2658330823697,3.186465279514174,196.7348691938219,2.732041506527315,.2160955985738877,156.9902451153778,N
Lumen,318.503368250993,11.89679798750389,58.14318771379386,2.664538769630753,.21475101905174,247.1186907069669,N
Polana,291.275399652929,2.238061335420873,291.9619842083807,2.418811360897016,.1345065563182928,88.56329584503796,N
Adria,333.0716840607598,11.44859218604737,253.3108315083327,2.760801532633282,.07409421159702072,182.3090939393282,N
Vibilia,76.42305712422255,4.80656724598502,293.5265839250011,2.655461659670528,.234682227252452,95.31046687892373,N
Adeona,77.42779803189654,12.63431232491285,44.0073709501575,2.673284521035495,.1445849049745618,188.6330302791472,N
Lucina,83.97310140682092,13.09352892545271,146.9588364091638,2.71835933809102,.06661305737170982,154.1384217361847,N
Protogeneia,248.3573130773329,1.930586408629266,101.073445501909,3.135737706858923,.02808428431721671,57.01587766519857,N
Gallia,145.0862515310163,25.30818731580731,252.6638661601294,2.774440146038732,.1849242881357362,107.865793335479,N
Medusa,159.617731298461,.9392204183869441,250.7078385770157,2.174447377243106,.06544652260763409,219.1141351830188,N
Nuwa,206.2380659728053,2.193457721135851,151.6592318294204,2.982148019950828,.1260808443794072,99.91133884979449,N
Abundantia,38.87566510909305,6.434970167096042,130.6758625785585,2.591662168232478,.03370123347144228,94.90362735867096,N
Hilda,228.1681576535059,7.824886313178064,38.57502626022123,3.977343483115187,.1395070330346661,26.88636586605601,N
Bertha,36.74965769340172,20.97225963139412,159.5732951232,3.196347072070303,.07727853352203579,90.70610595596914,N
Scylla,41.00559489472142,11.38856890137858,45.89583059824155,2.755427546747592,.2778183730946457,190.545907567282,N
Xanthippe,241.8440724119704,9.778465267309583,338.4190112388632,2.727009765314251,.2272521003128656,219.0296243275835,N
Koronis,277.9729904753997,1.001364088193277,142.3599162827016,2.86910637702221,.05230815686637658,334.7842668187432,N
Aemilia,134.1311952147367,6.131183381842912,333.3911067364885,3.102787332288352,.1079556660422272,177.9767771684477,N
Una,8.610893496694333,3.825178229923047,53.07771801575338,2.729466941289821,.06563240557893668,100.5446844244008,N
Athor,18.61025541870508,9.05991041897375,295.00713858,2.379196924480038,.1371421802882842,295.0874686565747,N
Laurentia,35.53793877193517,6.097391114961468,116.2144491351928,3.018254378475559,.1788834644526482,262.4870961547538,N
Erigone,160.166015511982,4.814820220240859,298.2668612243111,2.367339461394844,.1907525069894021,225.9181894498368,N
Eva,76.92362202271191,24.44449784068212,283.8589828032219,2.634806502865864,.3452809886533428,173.4887447937559,N
Loreley,302.5346437471512,11.22395381710948,347.3941135531311,3.125712660516544,.08476722258805801,90.09990510410537,N
Urda,166.2197826250841,2.212312726525898,133.0701366983242,2.853420540772982,.03645842659554163,356.6877269140286,N
Sibylla,206.0615818917096,4.646465556916525,173.1450131756929,3.384512298671313,.06956772667961553,140.6645802698091,N
Zelia,354.7729187717024,5.500896078282419,334.6833156019276,2.359413163195001,.1303449070174003,195.4795076667619,N
Maria,301.3635660600188,14.38261306017161,159.3082398204448,2.554206557609892,.06307785980006761,39.68206362652935,N
Ophelia,100.5380077299941,2.546595336378204,56.97960001789183,3.130566849034219,.1319579943051447,335.474150949711,N
Baucis,331.9803117486421,10.02874461158923,359.1499910982296,2.379251920139301,.1148472444002996,121.8409105013837,N
Ino,148.2661668552467,14.21039975060893,228.4159142530114,2.747210417229603,.2063848502143276,134.3342165500713,N
Phaedra,327.7061720439577,12.12666815810748,288.9234554954696,2.863225777820431,.1417340453841197,290.1560117439914,N
Andromache,21.35334464184917,3.218402517644487,320.4423122717095,3.185516724037686,.2326755729268246,1.005788024022075,N
