# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr  5 05:27:31 2016
#
# COLUMN mpl_hostname:   Host Name
# COLUMN mpl_letter:     Planet Letter
# COLUMN mpl_discmethod: Discovery Method
# COLUMN mpl_pnum:       Number of Planets in System
# COLUMN mpl_orbper:     Orbital Period [days]
# COLUMN mpl_orbsmax:    Orbit Semi-Major Axis [AU]
# COLUMN mpl_orbeccen:   Eccentricity
# COLUMN mpl_dens:       Planet Density [g/cm**3]
# COLUMN mpl_orbincl:    Inclination [deg]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN mst_teff:       Effective Temperature [K]
# COLUMN mst_mass:       Stellar Mass [Solar mass]
# COLUMN mst_rad:        Stellar Radius [Solar radii]
# COLUMN hd_name:        HD Name
# COLUMN mpl_name:       Planet Name
# COLUMN mpl_eqt:        Equilibrium Temperature [K]
# COLUMN mpl_masse:      Planet Mass [Earth mass]
# COLUMN mpl_rade:       Planet Radius [Earth radii]
# COLUMN mpl_status:     Status
# COLUMN mpl_mnum:       Number of Moons in System
# COLUMN rowupdate:      Date of Last Update
# COLUMN mst_lum:        Stellar Luminosity [log(Solar)]
#
rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
77,HAT-P-29,b,Transit,1,5.72318600,0.066700,0.095000,0.71000,87.100,33.131142,51.778759,6087.00,1.2070,1.22,,HAT-P-29 b,1260,247.26100,12.408,3,0,2014-05-14,0.265
78,HAT-P-3,b,Transit,1,2.89973600,0.038660,0.000000,1.29000,87.070,206.094121,48.028667,5185.00,0.9170,0.80,,HAT-P-3 b,,187.83000,9.270,3,0,2014-05-14,-0.362
79,HAT-P-30,b,Transit,1,2.81059500,0.041900,0.035000,0.37000,83.600,123.949894,5.836719,6304.00,1.2420,1.22,,HAT-P-30 b,1630,225.96800,15.020,3,0,2014-05-14,0.312
80,HAT-P-31,b,Transit,1,5.00542500,0.055000,0.245000,2.18000,87.100,271.537705,26.426662,6065.00,1.2180,1.36,,HAT-P-31 b,1450,689.98000,11.990,3,0,2014-05-14,0.348
81,HAT-P-32,b,Transit,1,2.15000800,0.034300,0.000000,0.19000,88.900,31.042848,46.687836,6207.00,1.1600,1.22,,HAT-P-32 b,1786,273.32200,20.053,3,0,2014-05-14,0.294
82,HAT-P-32,b,Transit,1,2.15000805,0.034300,0.007200,,88.900,31.042848,46.687836,6269.00,,1.22,,HAT-P-32 b,,,20.053,3,0,2014-10-15,
83,HAT-P-33,b,Transit,1,3.47447400,0.049900,0.000000,0.20000,87.200,113.184212,33.835052,6446.00,1.3750,1.64,,HAT-P-33 b,1782,242.17600,18.898,3,0,2014-05-14,0.618
84,HAT-P-34,b,Transit,1,5.45265400,0.067700,0.441000,2.40000,87.100,303.195342,18.104868,6442.00,1.3920,1.53,,HAT-P-34 b,1520,1057.69400,13.417,3,0,2014-05-14,0.560
85,HAT-P-35,b,Transit,1,3.64670600,0.049800,0.025000,0.55000,87.300,123.250764,4.787023,6096.00,1.2360,1.44,,HAT-P-35 b,1581,334.97900,14.930,3,0,2014-05-14,0.407
86,HAT-P-36,b,Transit,1,1.32734700,0.023800,0.063000,1.12000,86.000,188.266255,44.915352,5560.00,1.0220,1.10,,HAT-P-36 b,1823,582.24000,14.168,3,0,2014-05-14,0.013
87,HAT-P-37,b,Transit,1,2.79743600,0.037900,0.058000,0.89000,86.900,284.296064,51.269138,5500.00,0.9290,0.88,,HAT-P-37 b,1271,371.52800,13.204,3,0,2014-05-14,-0.208
88,HAT-P-38,b,Transit,1,4.64038200,0.052300,0.067000,0.59000,88.300,35.383234,32.246151,5330.00,0.8860,0.92,,HAT-P-38 b,1082,84.85700,9.247,3,0,2014-05-14,-0.208
89,HAT-P-39,b,Transit,1,3.54387000,0.050900,0.000000,0.19000,87.000,113.758247,17.830082,6430.00,1.4040,1.62,,HAT-P-39 b,1752,190.37200,17.609,3,0,2014-05-14,0.607
90,HAT-P-4,b,Transit,1,3.05651140,,0.000000,,89.670,229.991354,36.229664,,1.2600,1.60,,HAT-P-4 b,,216.12000,14.930,3,0,2015-02-26,
91,HAT-P-4,b,Transit,1,3.05653600,0.044380,0.000000,0.40300,89.910,229.991354,36.229664,5860.00,,,,HAT-P-4 b,1686,213.25500,14.280,3,0,2014-05-14,0.431
92,HAT-P-40,b,Transit,1,4.45724300,0.060800,0.000000,0.15000,88.300,335.512861,45.457378,6080.00,1.5120,2.21,,HAT-P-40 b,1770,195.45700,19.392,3,0,2014-05-14,0.778
93,HAT-P-41,b,Transit,1,2.69404700,0.042600,0.000000,0.20000,87.700,297.322651,4.672421,6390.00,1.4180,1.68,,HAT-P-41 b,1941,254.25300,18.887,3,0,2014-05-14,0.628
