name,a,e,M,w,per
Baumhauer,2.631306759407033,.221598157622719,85.90104919820993,104.886533795384,4.26840307700536
Paech,2.191398559845025,.1650303957075845,113.5679639641318,13.47400264636242,3.2440703237489
Mak,2.334258744756653,.1305849129477462,109.1106097850846,355.9271363488909,3.56641349080485
Tomvandijk,2.327712436954601,.1038616870798364,13.05305903561258,111.5042116780663,3.55142128132787
Sussenbach,2.33180775931182,.0680365004162938,265.8927158846085,311.989074935915,3.56079783277914
Georgebeekman,2.326707489970318,.0580961359272965,226.4425336383725,226.8176016193702,3.54912163846128
Drummen,3.047298647059207,.127292143696024,60.39054189826047,13.08005337587895,5.31962147455959
Bouma,3.005324978037579,.1061254347306464,329.7538681534786,126.5194046230031,5.21009165777639
Petruskoning,2.60565691004721,.1415588473237492,339.2981623756709,58.38769802347888,4.20614314690055
Gouka,2.605127610312891,.1716384095325499,278.3773920896667,36.34439293823788,4.20486159058124
Chrisnell,3.011296425254612,.05259567516293225,59.74302112193809,16.55186188719365,5.22562769974117
Zeletava,2.978400114209905,.1161089411946301,141.6785555232743,92.26448190696274,5.14023248656526
Nauplius,5.232027668919812,.1267227419369882,129.8283128593909,274.2139769223649,11.9677704439005
Oceax,5.177171547599547,.05364506669772286,104.2509773113764,314.4094635368066,11.780047343619
Paolotanga,3.166208577172095,.04713935648755069,320.6501718132513,79.63959429865392,5.63400831807903
Severina,2.424887791505602,.2061656003539547,278.5623840481622,143.9114073430093,3.77611900549366
Lyudvasilia,2.334713973429319,.109197267343708,336.9494779207745,18.69670773319419,3.56745682811889
Gerbefremov,2.364433594704553,.1487039313288932,249.5233002681669,25.10467834854731,3.63579078231107
Yakage,2.766168159167337,.04148571591994406,186.6196408990691,119.4499891201205,4.60072282080735
Ulfbirgitta,2.931216429441435,.1117225796958828,61.28706442086357,170.6787679592595,5.01857052494676
Doty,2.274615930968181,.103590955107754,159.57504424481,98.11513734813974,3.43060184674045
Levi-Montalcini,2.408018583828928,.1754669155954894,158.6206083181032,93.99325024932995,3.73678364643372
Binyang,2.14862235791222,.117919599087479,240.9188379302547,19.48038004603621,3.14954877300376
Villanueva,2.400830479521483,.1517197739146099,206.1118788679491,223.1304166985358,3.72006429730742
Wainscoat,2.459302271936088,.1644423143492725,308.5329558678861,51.3607197751702,3.85679067785548
Verbiscer,2.869526769697876,.03171698212321629,288.4807801385936,49.01678723454424,4.86097763799238
Skrutskie,2.886794095981855,.07485509068206202,215.4893070614028,196.633028840404,4.90491984779097
Videen,2.480535375692843,.1841071826693411,225.4364828036908,31.50633574508637,3.90684642509276
Juchnovski,2.242400892349962,.123724144024484,114.6342864819414,68.41718432508382,3.35797987211845
Valtikhonov,2.188662877666464,.197910943383633,141.9194560886793,130.6004305053857,3.23799750668413
Dudarova,2.459577293574065,.176405439160821,262.7865747946335,57.06127898120977,3.8574376482719
Powell,1.939948866206314,.078827966917125,183.8230880478577,54.24918573043377,2.70205152634837
