full_name,epoch_mjd,a,e,i,om,w,ma,per_y
  7543 Prylis (1973 SY),57400,5.18819079,0.06283503,14.06955705,195.5902294,207.783615,193.6874952,11.81767684
  7641 (1986 TT6),57400,5.215574576,0.053089458,34.6963233,242.064235,229.487427,104.7345843,11.9113625
  7815 Dolon (1987 QN),57400,5.278602111,0.058667526,20.35632351,147.5039903,219.8641371,81.8247899,12.12792752
  8060 Anius (1973 SD1),57400,5.189870357,0.091295155,7.084698757,6.369169355,33.91558491,200.2249011,11.82341589
  8125 Tyndareus (5493 T-2),57400,5.178757773,0.046240818,13.12010878,323.1288637,58.16758325,225.5338765,11.78546166
  8241 Agrius (1973 SE1),57400,5.141348101,0.042755901,4.346413584,22.67514308,262.7579039,313.5535136,11.65799101
  8317 Eurysaces (4523 P-L),57400,5.294089112,0.045086678,0.946252599,208.1094907,113.8465551,277.9969728,12.18134022
  9023 Mnesthus (1988 RG1),57400,5.231206746,0.063402959,23.91141623,159.8985753,159.192507,125.2385254,11.96495388
  9030 (1989 UX5),57400,5.247174036,0.023940387,4.233350598,76.79888101,1.371055179,44.94163559,12.01977687
  9142 Rhesus (5191 T-3),57400,5.175104961,0.128781583,12.79623849,141.1860701,173.5307498,131.7944739,11.77299464
  9430 Erichthonios (1996 HU10),57400,5.273018693,0.052743113,1.001593088,326.4372993,310.06027,173.9196801,12.10869022
  9431 (1996 PS1),57400,5.124107867,0.084176768,21.33374984,201.5279827,184.5618548,188.2423075,11.59940193
  9590 (1991 DK1),57400,5.103726977,0.04165332,6.662062982,28.87116851,191.8812107,354.0594889,11.53026671
  9694 Lycomedes (6581 P-L),57400,5.111241096,0.033998195,4.946268079,350.1590975,55.26946204,156.1040887,11.55573976
  9712 Nauplius (1973 SO1),57400,5.232027669,0.126722742,8.463447016,176.6590869,274.2139769,129.8283129,11.96777044
  9713 Oceax (1973 SP1),57400,5.177171548,0.053645067,4.157030552,155.9996403,314.4094635,104.2509773,11.78004734
  9790 (1995 OK8),57400,5.252570436,0.054154457,5.915489537,231.1941473,150.4019679,194.1257371,12.03832405
  9799 (1996 RJ),57400,5.192477928,0.046812764,30.51238697,259.5547077,113.54128,204.1823619,11.83232775
  9807 (1997 SJ4),57400,5.211912502,0.153441002,4.970256008,232.6023806,196.9294519,152.9506786,11.8988195
  9817 Thersander (6540 P-L),57400,5.273705302,0.039719539,9.166763078,24.36424988,83.09155527,100.5234469,12.11105534
  9818 Eurymachos (6591 P-L),57400,5.216447086,0.003506972,7.492312981,18.62685954,148.9892942,39.0656368,11.91435159
  9828 Antimachos (1973 SS),57400,5.179381181,0.085261352,3.214681876,97.09865774,20.59836778,113.0861712,11.78758979
  9857 (1991 EN),57400,5.147014411,0.025951929,19.62045401,289.3938012,2.036485191,303.9025915,11.67726883
  9907 Oileus (6541 P-L),57400,5.294519747,0.065831087,8.143687639,153.7752032,262.584721,154.4564745,12.18282655
