rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1307,Kepler-143,c,Transit,2,27.08251100,0.181000,,,,,0.301,,0,1,0,1,19h52m16.25s,298.067706,+49d24m45.4s,49.412605,,13.770,Kepler-band,5848.00,,1.36,2014-05-14
1308,Kepler-1430,b,Transit,1,2.46050993,,,,,,0.105,,0,1,0,1,19h18m47.40s,289.697494,+43d22m19.5s,43.372093,541.00,15.245,Kepler-band,4796.00,0.77,0.72,2016-05-10
1309,Kepler-1431,b,Transit,1,5.86601526,,,,,,0.131,,0,1,0,1,19h30m38.01s,292.658395,+49d51m54.7s,49.865192,1270.00,15.273,Kepler-band,5806.00,1.03,1.03,2016-05-10
1310,Kepler-1432,b,Transit,1,23.91090110,,,,,,0.198,,0,1,0,1,19h42m05.80s,295.524175,+49d49m46.4s,49.829548,1552.00,15.376,Kepler-band,6031.00,1.09,1.13,2016-05-10
1311,Kepler-1433,b,Transit,1,4.13592271,,,,,,0.139,,0,1,0,1,19h09m27.19s,287.363299,+49d27m24.8s,49.456890,1328.00,14.826,Kepler-band,6097.00,1.14,1.19,2016-05-10
1312,Kepler-1434,b,Transit,1,8.05333618,,,,,,0.099,,0,1,0,1,19h42m09.21s,295.538380,+51d12m10.6s,51.202957,680.00,12.086,Kepler-band,6291.00,1.47,2.04,2016-05-10
1313,Kepler-1435,b,Transit,1,4.45343281,,,,,,0.077,,0,1,0,1,19h24m41.59s,291.173299,+44d55m16.1s,44.921131,681.00,12.938,Kepler-band,6356.00,1.21,1.32,2016-05-10
1314,Kepler-1436,b,Transit,1,9.70571600,,,,,,0.117,,0,1,0,1,19h50m50.78s,297.711565,+46d46m04.9s,46.768021,1142.00,14.930,Kepler-band,5972.00,1.06,1.09,2016-05-10
1315,Kepler-1437,b,Transit,1,10.92954610,,,,,,0.122,,0,1,0,1,19h27m27.58s,291.864930,+49d19m33.3s,49.325920,1182.00,15.591,Kepler-band,5557.00,0.93,0.90,2016-05-10
1316,Kepler-1438,b,Transit,1,2.31942009,,,,,,0.084,,0,1,0,1,19h17m09.55s,289.289809,+40d40m54.0s,40.681665,866.00,14.869,Kepler-band,5530.00,0.97,0.96,2016-05-10
