pdes,a,e,M,w,per
15977,5.18650271935263,.04868003082062235,5.469664022693109,229.4473708841485,11.8119096720087
16070,5.132499500637214,.1231738810665221,171.8708618522558,353.9907106244921,11.6279077047235
16099,5.189233951420349,.08133209588098148,207.9404564260704,277.030593137515,11.8212411951132
16152,5.128309066753923,.09475276790576409,175.8524587022181,348.0354970503061,11.6136701880461
16428,5.227935524991029,.06847701586874838,122.9277782130315,345.1959726205292,11.9537325990171
16560,5.058508361388832,.03973517628594193,195.2205663410114,158.05544238165,11.3773707512237
16667,5.209880321742249,.1983885021040186,115.8570085008031,239.3420077969244,11.8918609620927
16956,5.237825675204091,.1113952622901695,102.2776652828755,202.7989087603944,11.9876695440999
16974,5.196480378304074,.06874504950885199,195.0468633546778,134.6341805237224,11.8460112264241
17171,5.138197307966436,.08159781113946218,144.1691578655991,357.41271734389,11.6472760345404
17172,5.210442938561598,.05795593886430806,119.2733553786992,217.1594089666489,11.8937873235069
17314,5.165450246283117,.07546479560854351,14.32585882836328,85.27673154675551,11.7400643237703
17351,5.166713869428979,.09592715305911638,167.4264527943319,46.20155657729623,11.7443725418949
17365,5.269683499550205,.07825049887002775,92.5451846644028,118.5218062719998,12.097203885037
17414,5.12837752966683,.03242558310103782,229.2569602446943,78.29336411560763,11.6139027525231
17415,5.152958197739575,.0470136318782122,168.5850239165252,122.3790885737979,11.6975020855948
17416,5.119204658618636,.05982036220924206,175.6926078637875,123.9421525717156,11.5827568842612
17417,5.168943503477836,.08278792000293782,107.1401144083146,237.2337568796139,11.7519755788698
17418,5.192832673126966,.1592259445333148,115.6594754960572,136.0972698681448,11.8335403318693
17419,5.190974441032682,.06811979767112537,99.01249210979068,332.637356474543,11.827189030424
17420,5.208847061041866,.08178504189985317,130.3076234173193,258.9569250757213,11.8883234192193
17421,5.144370347730834,.09825818557888047,205.8364571250569,216.8815976697649,11.6682719260184
17423,5.223547126633873,.09318753145271989,209.1506172844782,82.69504849557555,11.9386845756786
17424,5.202961689309596,.1570648609859128,130.4271581340935,161.6523973545176,11.8681805446778
17442,5.253726085697297,.04540299638542309,87.7585993443262,325.1047749136186,12.0422972071744
17492,5.139710740386057,.06771915205064158,172.9396573590697,219.9623400309677,11.6524223909507
17874,5.214458665212406,.04591070192488594,171.8322527587759,50.17560347555249,11.9075399163627
18037,5.246540384860153,.08255014044293568,81.34855426050167,255.5465564089217,12.0175996643301
18046,5.211975403391815,.0570153322630987,133.2670023252946,153.053296141559,11.8990349054624
18054,5.217874159220465,.01440264120702868,221.1336373936237,127.8591534717418,11.9192410706627
18058,5.127050623763209,.0780806155208907,134.4746120611026,51.01369694298865,11.6093956079622
18060,5.133276458094572,.05586623626533895,196.797610643265,151.9411684940615,11.63054815257
18062,5.153429121912709,.0477435326039627,140.2167247677689,34.529392626099,11.69910565838
18063,5.146878513210424,.05622223171072111,198.9037784871631,65.28084172224978,11.6768063593241
18071,5.275109599237398,.05593916023316122,190.0067563063603,80.77794182404826,12.1158931085661
18137,5.119051426236665,.01672530754028726,2.230128746140214,211.8626020821305,11.5822368307772
18228,5.281391242075185,.1272801328888793,99.73140482098827,348.3637011418962,12.1375411041179
18263,5.179158687178898,.03985129137276826,152.3468141136084,147.3051304712318,11.7868302493559
18268,5.162914580454185,.09557021148314988,127.3845472805268,113.3453517605247,11.7314207714442
18278,5.187411232257094,.06773240635378927,210.678810015415,206.5616972592497,11.8150134230938
18281,5.194382371257413,.1035426263794549,129.4382898701676,170.6630045374839,11.8388379559022
18282,5.22215521731261,.07760409716562679,89.3677930621372,213.5372569817627,11.9339129734859
18493,5.302389878841425,.0911247139969477,145.196698136673,89.72436099072576,12.2100007017982
18940,5.259032492968506,.07341507144334675,81.71931371500308,221.7980576894587,12.0605463883923
18971,5.208981191605382,.1183075778086719,219.5326874903703,43.04416389375189,11.8887826180879
19018,5.202683291026866,.1009770241971161,120.1080684498689,123.9529385276041,11.8672279996425
19020,5.216929516677377,.1118689885993534,139.2811735901272,224.8063692859924,11.9160044328375
19725,5.172393053556856,.0699026903350986,124.8075902174076,35.21844589676457,11.7637417524738
19844,5.190810593836378,.04904421451099925,154.1536530649794,105.1797858474082,11.8266290672148
19913,5.124079034511798,.0571989307011489,87.39741840957059,339.9152082843898,11.5993040294339
20144,5.188851170719838,.0123889967146013,29.85063172046696,160.0387269250047,11.819933239185
20424,5.215690926773852,.1284264581958521,144.0092229327799,4.570954539927843,11.911761084326
20428,5.21937048650699,.1441024533000163,160.1167886819391,5.182434649759482,11.9243685508442
20716,5.238135739038018,.1280736822305105,199.5813766245332,271.0078813671532,11.988734011882
20720,5.292705938890323,.1445777762313834,126.0153001188997,351.5330608341858,12.1765666523477
20729,5.214971083707852,.06368541530145033,185.2237556019553,92.71204295604248,11.9092951686271
20738,5.162434013476455,.01132629218225685,221.7760809839918,324.2735659268311,11.7297828587466
20739,5.197386206360392,.1377036685244361,95.65148397373684,183.9989365518608,11.8491087798115
20947,5.076656935101994,.02267617558048351,120.6069166017704,37.70747521566256,11.4386540766211
20952,5.178744771426127,.08387546000529553,167.8222472555651,90.42135096779161,11.7854172812856
20961,5.13916516245647,.01737586599452589,142.6343726524358,50.73803302373067,11.6505670912769
20995,5.089921613553005,.1141779106586309,140.6428849643946,11.16803166788556,11.4835150373032
21271,5.134040351871043,.007824751481400823,117.0677402956847,5.259665121134488,11.6331443990255
21284,5.237113490393171,.1010102058823358,207.4585775480046,181.766637825801,11.9852246901235
21370,5.183183206409367,.07434532484361563,106.9033699464584,49.29003491184442,11.8005715368603
21371,5.234633905930851,.07047590994024922,94.75322606004271,56.39315777144368,11.9767138399049
21372,5.196777250103791,.0277513344018228,107.8784828993184,277.7052714950515,11.8470263741712
21593,5.087508218177394,.04989646042350124,168.4073061455118,129.848024497848,11.4753486119417
21595,5.204765920434165,.1342383805855517,183.7840713208235,258.0465708010043,11.874354373617
21599,5.208500373758982,.1158694971546861,151.5347949571206,210.7058372249045,11.8871365552409
21601,5.214616641903713,.03641005452231643,139.7673281325471,213.34646446661,11.9080810448266
21602,5.200478998226714,.06174048340317812,92.37852123027176,194.7906030961713,11.8596868695731
21900,5.128245300395625,.03567237273284807,135.0640059878459,181.2241293705371,11.6134535788843
22008,5.155438529247488,.008465921682197935,174.0788621406554,287.2159314890883,11.7059488378187
22009,5.221906485385138,.02591508070529031,123.2879905668557,336.5531163735532,11.9330603629142
22010,5.102630192270774,.01494994144311018,193.7060899879726,311.9870212922174,11.5265501438404
22012,5.198146268037521,.1096005347300783,87.224194594314,27.84527901424652,11.8517080813794
22014,5.154192129771417,.1050115108482289,112.5074333651022,202.9034221290969,11.701703978765
22035,5.241848081970997,.09667191709042564,151.3610527011959,126.1708915920548,12.0014811548069
22041,5.147299881643736,.05531665590232001,129.2663245297211,73.3562061030071,11.6782403367216
22042,5.186220568393166,.09112974141662812,186.3496533964023,1.914281594642411,11.8109458154851
22049,5.271871197097981,.05327806248101499,99.80923317346171,253.4090528303522,12.1047378583232
22052,5.1953134310192,.03429362118273662,165.4248446622213,320.1877210719633,11.842021152319
22054,5.1870248527501,.05427199528961908,74.40020206328396,231.6813165433576,11.8136934022251
