id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
690,KELT-15,b,Transit,1,3.329441,0.04613,0,88.3,0.91,Mass,1.443,0.36,0,0,0,,07h49m39.61s,117.415037,-52d07m13.6s,-52.120453,291,11.189,V (Johnson),6003,1.18,1.48,17/03/16
691,KELT-2 A,b,Transit,1,4.1137912,0.05496,0,88.6,1.522,Mass,1.286,,0,0,0,,06h10m39.35s,92.663948,+30d57m25.7s,30.957144,124.22,8.713,V (Johnson),6151,1.31,1.83,14/05/14
692,KELT-3,b,Transit,1,2.7033904,0.04122,0,84.23,1.477,Mass,1.345,0.75,0,0,0,,09h54m34.40s,148.643324,+40d23m17.0s,40.388069,178,9.873,V (Johnson),6306,1.28,1.47,14/05/14
693,KELT-4 A,b,Transit,1,2.9895932,0.04317,0,83.16,0.902,Mass,1.699,0.228,0,0,0,,10h28m15.01s,157.062546,+25d34m23.5s,25.573189,210,9.98,V (Johnson),6206,1.2,1.6,25/02/16
694,KELT-6,b,Transit,2,7.8455821,0.08,0.029,88.81,0.442,Msin(i)/sin(i),1.18,,0,0,0,,13h03m55.65s,195.981868,+30d38m24.2s,30.640051,222,10.418,V (Johnson),6272,1.13,1.53,03/09/15
695,KELT-6,c,Radial Velocity,2,1276,2.39,0.21,,3.71,Msini,,,0,0,0,,13h03m55.65s,195.981868,+30d38m24.2s,30.640051,222,10.418,V (Johnson),6272,1.13,1.53,03/09/15
696,KELT-7,b,Transit,1,2.7347749,0.04415,0,83.76,1.28,Mass,1.533,0.442,0,0,0,,05h13m10.93s,78.295532,+33d19m05.4s,33.318165,129,8.54,V (Johnson),6789,1.53,1.73,04/06/15
697,KELT-8,b,Transit,1,3.24406,0.04571,0.035,82.65,0.867,Mass,1.86,0.167,0,0,0,,18h53m13.32s,283.30551,+24d07m38.6s,24.12738,236,10.833,V (Johnson),5754,1.21,1.67,03/09/15
698,KIC 10001893,b,Orbital Brightness Modulation,3,0.2197,,,,,,,,0,1,0,,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,,15.846,Kepler-band,27500,,,03/10/14
699,KIC 10001893,c,Orbital Brightness Modulation,3,0.32528,,,,,,,,0,1,0,,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,,15.846,Kepler-band,27500,,,03/10/14
700,KIC 10001893,d,Orbital Brightness Modulation,3,0.81161,,,,,,,,0,1,0,,19h09m33.41s,287.389188,+46d59m04.2s,46.984489,,15.846,Kepler-band,27500,,,03/10/14
701,KIC 10525077,b,Transit,1,854.083,,,89.861,,,0.491,,0,1,0,,19h09m30.74s,287.378077,+47d46m16.3s,47.771187,,15.355,Kepler-band,6091,1.01,1.01,05/01/16
702,KIC 3558849,b,Transit,1,1322.3,,,89.973,,,0.616,,0,1,0,,19h39m47.96s,294.949847,+38d36m18.7s,38.605197,,14.218,Kepler-band,6175,0.98,1.01,05/01/16
703,KIC 5437945,b,Transit,1,440.7813,,,89.904,,,0.571,,0,1,0,,19h13m53.97s,288.474857,+40d39m04.9s,40.651357,,13.771,Kepler-band,6340,1.07,1.24,05/01/16
704,KIC 5951458,b,Transit,1,1320.1,,,89.799,,,0.589,,0,1,0,,19h15m57.98s,288.991582,+41d13m22.9s,41.223038,,12.713,Kepler-band,6258,0.98,1.52,05/01/16
705,KIC 8540376,b,Transit,2,31.8099,,,89.3,,,0.366,,0,1,0,,18h49m30.61s,282.37753,+44d41m40.5s,44.694592,,14.294,Kepler-band,6474,1.04,1.26,05/01/16
706,KIC 8540376,c,Transit,2,75.2,,,89.701,,,0.214,,0,1,0,,18h49m30.61s,282.37753,+44d41m40.5s,44.694592,,14.294,Kepler-band,6474,1.04,1.26,05/01/16
707,KIC 9663113,b,Transit,1,572.3847,,,89.768,,,0.41,,0,1,0,,19h48m10.90s,297.045421,+46d19m43.3s,46.328701,,13.955,Kepler-band,6065,0.98,1.03,05/01/16
