id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1587,Kepler-433,b,Transit,1,5.33408384,0.0679,0.119,89.21,2.82,Mass,1.45,1.13,0,1,0,,19h50m22.48s,297.593651,+40d58m38.2s,40.977268,1870,14.463,Kepler-band,6360,1.46,2.26,14/01/15
1588,Kepler-434,b,Transit,1,12.8747099,0.1143,0.131,86.46,2.86,Mass,1.13,2.4,0,1,0,,19h34m20.73s,293.586381,+42d55m44.1s,42.928913,1240,14.517,Kepler-band,5977,1.2,1.38,14/01/15
1589,Kepler-435,b,Transit,1,8.6001536,0.0948,0.114,85.51,0.84,Mass,1.99,0.131,0,1,0,,19h29m08.96s,292.287328,+43d11m50.2s,43.197281,2070,13.643,Kepler-band,6161,1.54,3.21,14/01/15
1590,Kepler-436,b,Transit,1,64.00205,0.339,0.19,89.93,,,0.24,,0,1,0,,20h06m52.98s,301.720753,+44d24m43.4s,44.412063,618,15.856,Kepler-band,4651,0.73,0.7,06/01/15
1591,Kepler-437,b,Transit,1,66.65062,0.288,0.02,89.9,,,0.19,,0,1,0,,19h49m23.37s,297.347393,+44d01m37.0s,44.026947,417,14.352,Kepler-band,4551,0.71,0.68,06/01/15
1592,Kepler-438,b,Transit,1,35.23319,0.166,0.03,89.86,,,0.1,,0,1,0,,18h46m34.99s,281.645806,+41d57m03.9s,41.951092,145,14.467,Kepler-band,3748,0.54,0.52,06/01/15
1593,Kepler-439,b,Transit,1,178.1396,0.563,0.03,89.95,,,0.2,,0,1,0,,18h43m12.38s,280.801566,+44d02m02.4s,44.033994,693,14.56,Kepler-band,5431,0.88,0.87,06/01/15
1594,Kepler-44,b,Transit,1,3.2467293,0.0446,0.066,84.96,1,Mass,1.09,0.93,0,1,0,,20h00m24.56s,300.102352,+45d45m43.7s,45.762142,2250,14.678,Kepler-band,5800,1.12,1.35,29/01/15
1595,Kepler-440,b,Transit,1,101.11141,0.242,0.34,89.93,,,0.17,,0,1,0,,19h01m23.99s,285.349952,+41d27m07.9s,41.452206,261,15.134,Kepler-band,4134,0.57,0.56,06/01/15
1596,Kepler-441,b,Transit,1,207.2482,0.64,0.1,89.97,,,0.15,,0,1,0,,18h58m16.06s,284.566904,+49d00m45.2s,49.012546,284,15.142,Kepler-band,4340,0.57,0.55,06/01/15
1597,Kepler-442,b,Transit,1,112.3053,0.409,0.04,89.94,,,0.12,,0,1,0,,19h01m27.98s,285.366589,+39d16m48.3s,39.280081,342,14.976,Kepler-band,4402,0.61,0.6,06/01/15
1598,Kepler-443,b,Transit,1,177.6693,0.495,0.11,89.94,,,0.21,,0,1,0,,19h14m26.53s,288.610544,+49d58m07.1s,49.968632,779,15.891,Kepler-band,4723,0.74,0.71,06/01/15
1599,Kepler-444,b,Transit,5,3.6001053,0.04178,0.16,88,,,0.036,,0,1,0,,19h19m00.55s,289.752289,+41d38m04.6s,41.634605,35.7,8.88,V (Johnson),5046,0.76,0.75,29/01/15
1600,Kepler-444,c,Transit,5,4.5458841,0.04881,0.31,88.2,,,0.044,,0,1,0,,19h19m00.55s,289.752289,+41d38m04.6s,41.634605,35.7,8.88,V (Johnson),5046,0.76,0.75,29/01/15
1601,Kepler-444,d,Transit,5,6.189392,0.06,0.18,88.16,,,0.047,,0,1,0,,19h19m00.55s,289.752289,+41d38m04.6s,41.634605,35.7,8.88,V (Johnson),5046,0.76,0.75,29/01/15
1602,Kepler-444,e,Transit,5,7.743493,0.0696,0.1,89.13,,,0.049,,0,1,0,,19h19m00.55s,289.752289,+41d38m04.6s,41.634605,35.7,8.88,V (Johnson),5046,0.76,0.75,29/01/15
1603,Kepler-444,f,Transit,5,9.740486,0.0811,0.29,87.96,,,0.066,,0,1,0,,19h19m00.55s,289.752289,+41d38m04.6s,41.634605,35.7,8.88,V (Johnson),5046,0.76,0.75,29/01/15
1604,Kepler-445,b,Transit,3,2.984151,,0,89.74,,,0.14,,0,1,0,,19h54m56.66s,298.736067,+46d29m54.8s,46.498552,90,17.475,Kepler-band,3157,0.18,0.21,14/01/15
1605,Kepler-445,c,Transit,3,4.871229,,0,89.91,,,0.22,,0,1,0,,19h54m56.66s,298.736067,+46d29m54.8s,46.498552,90,17.475,Kepler-band,3157,0.18,0.21,14/01/15
1606,Kepler-445,d,Transit,3,8.15275,,0,89.61,,,0.11,,0,1,0,,19h54m56.66s,298.736067,+46d29m54.8s,46.498552,90,17.475,Kepler-band,3157,0.18,0.21,14/01/15
1607,Kepler-446,b,Transit,3,1.565409,,0,87.42,,,0.13,,0,1,0,,18h49m00.05s,282.250207,+44d55m16.0s,44.921102,120,16.257,Kepler-band,3359,0.22,0.24,14/01/15
1608,Kepler-446,c,Transit,3,3.036179,,0,88.97,,,0.1,,0,1,0,,18h49m00.05s,282.250207,+44d55m16.0s,44.921102,120,16.257,Kepler-band,3359,0.22,0.24,14/01/15
1609,Kepler-446,d,Transit,3,5.148921,,0,88.72,,,0.12,,0,1,0,,18h49m00.05s,282.250207,+44d55m16.0s,44.921102,120,16.257,Kepler-band,3359,0.22,0.24,14/01/15
1610,Kepler-447,b,Transit,1,7.79430132,0.0769,0.123,86.55,1.37,Mass,1.65,0.4,0,1,0,,19h01m04.46s,285.268586,+48d33m36.0s,48.560013,,12.394,Kepler-band,5493,1,1.05,19/02/15
1611,Kepler-449,b,Transit,2,12.58242,,0.03,,,,0.183,,0,1,0,,19h34m55.88s,293.732821,+41d54m03.0s,41.900829,,11.411,Kepler-band,,0.97,1.47,21/05/15
1612,Kepler-449,c,Transit,2,33.6727,,0.05,,,,0.247,,0,1,0,,19h34m55.88s,293.732821,+41d54m03.0s,41.900829,,11.411,Kepler-band,,0.97,1.47,21/05/15
1613,Kepler-45,b,Transit,1,2.455239,0.03,0.11,87,0.505,Mass,0.96,0.8,0,1,0,,19h31m29.50s,292.8729,+41d03m51.3s,41.064261,333,16.88,V (Johnson),3820,0.59,0.55,14/05/14
1614,Kepler-450,b,Transit,3,28.454851,,0.02,,,,0.548,,0,1,0,,19h41m56.76s,295.486509,+51d00m48.6s,51.0135,,11.684,Kepler-band,,1.35,1.57,21/05/15
1615,Kepler-450,c,Transit,3,15.413135,,0.02,,,,0.234,,0,1,0,,19h41m56.76s,295.486509,+51d00m48.6s,51.0135,,11.684,Kepler-band,,1.35,1.57,21/05/15
1616,Kepler-450,d,Transit,3,7.51464,,0.14,,,,0.075,,0,1,0,,19h41m56.76s,295.486509,+51d00m48.6s,51.0135,,11.684,Kepler-band,,1.35,1.57,21/05/15
1617,Kepler-452,b,Transit,1,384.843,1.046,,89.806,,,0.145,,0,1,0,,19h44m00.89s,296.003688,+44d16m39.2s,44.277561,,13.426,Kepler-band,5757,1.04,1.11,23/07/15
1618,Kepler-453,b,Transit,1,240.503,0.7903,0.0359,89.443,0.00063,Mass,0.553,,0,1,0,,18h52m57.91s,283.241297,+46d22m42.5s,46.378471,,13.552,Kepler-band,5527,0.94,0.83,09/07/15
1619,Kepler-454,b,Transit,2,10.57375339,0.0954,0,87.09,0.02152,Mass,0.211,2.76,0,1,0,,19h09m54.85s,287.478529,+38d13m43.9s,38.228866,,11.57,V (Johnson),5701,1.03,1.07,03/12/15
1620,Kepler-454,c,Radial Velocity,2,523.9,,0.0214,,4.46,Msini,,,0,1,0,,19h09m54.85s,287.478529,+38d13m43.9s,38.228866,,11.57,V (Johnson),5701,1.03,1.07,03/12/15
1621,Kepler-46,b,Transit,3,33.60134,0.1968,0.01,89.038,6,Mass,0.808,14,1,1,0,,19h17m04.50s,289.268744,+42d36m15.0s,42.604176,855,15.262,Kepler-band,5309,0.9,0.79,14/05/14
1622,Kepler-46,c,Transit Timing Variations,3,57.011,0.2799,0.0146,87.4,0.376,Mass,,,1,1,0,,19h17m04.50s,289.268744,+42d36m15.0s,42.604176,855,15.262,Kepler-band,5309,0.9,0.79,14/05/14
1623,Kepler-46,d,Transit,3,6.766589,0.067,,,,,0.146,,1,1,0,,19h17m04.50s,289.268744,+42d36m15.0s,42.604176,855,15.262,Kepler-band,5309,0.9,0.79,14/05/14
1624,Kepler-47,b,Transit,2,49.532,0.2962,0.035,89.7,2,Mass,0.27,,1,1,0,,19h41m11.50s,295.297916,+46d55m13.7s,46.920467,1500,15.178,Kepler-band,5636,1.05,0.96,14/05/14
1625,Kepler-47,c,Transit,2,303.137,0.991,0.411,89.825,28,Mass,0.411,,1,1,0,,19h41m11.50s,295.297916,+46d55m13.7s,46.920467,1500,15.178,Kepler-band,5636,1.05,0.96,14/05/14
1626,Kepler-48,b,Transit,4,4.7779803,,,,5.94,Mass,0.191,,1,1,0,,19h56m33.41s,299.139212,+40d56m56.5s,40.94902,,13.04,Kepler-band,5194,0.88,0.89,14/05/14
1627,Kepler-48,c,Transit,4,9.6739283,,,,11.61,Mass,0.28,,1,1,0,,19h56m33.41s,299.139212,+40d56m56.5s,40.94902,,13.04,Kepler-band,5194,0.88,0.89,14/05/14
1628,Kepler-48,d,Transit,4,42.8961,,,,0.025,Mass,0.182,5.08,0,1,0,,19h56m33.41s,299.139212,+40d56m56.5s,40.94902,,13.04,Kepler-band,5194,0.88,0.89,14/05/14
1629,Kepler-48,e,Radial Velocity,4,982,,,,2.067,Mass,,,0,1,0,,19h56m33.41s,299.139212,+40d56m56.5s,40.94902,,13.04,Kepler-band,5194,0.88,0.89,14/05/14
1630,Kepler-49,b,Transit,4,7.2037945,,,,0.98,Mass,0.243,,1,1,0,,19h29m10.70s,292.294579,+40d35m30.5s,40.591801,,15.264,Kepler-band,4252,0.55,0.56,14/05/14
1631,Kepler-49,c,Transit,4,10.9129343,,,,0.72,Mass,0.227,,1,1,0,,19h29m10.70s,292.294579,+40d35m30.5s,40.591801,,15.264,Kepler-band,4252,0.55,0.56,14/05/14
1632,Kepler-49,d,Transit,4,2.576549,0.031,,,,,0.143,,1,1,0,,19h29m10.70s,292.294579,+40d35m30.5s,40.591801,,15.264,Kepler-band,4252,0.55,0.56,14/05/14
1633,Kepler-49,e,Transit,4,18.596108,0.116,,,,,0.139,,1,1,0,,19h29m10.70s,292.294579,+40d35m30.5s,40.591801,,15.264,Kepler-band,4252,0.55,0.56,14/05/14
1634,Kepler-5,b,Transit,1,3.5484657,0.0538,,89.14,2.111,Mass,1.426,0.4,0,1,0,,19h57m37.68s,299.407009,+44d02m06.2s,44.035046,,13.369,Kepler-band,6297,1.37,1.79,15/10/15
1635,Kepler-50,b,Transit,2,7.81254,0.077,,,,,0.153,,1,1,0,,19h12m24.21s,288.100873,+50d02m01.4s,50.033718,,10.421,Kepler-band,6225,1.24,1.58,14/05/14
1636,Kepler-50,c,Transit,2,9.37647,0.087,,,,,0.194,,1,1,0,,19h12m24.21s,288.100873,+50d02m01.4s,50.033718,,10.421,Kepler-band,6225,1.24,1.58,14/05/14
1637,Kepler-51,b,Transit,3,45.154,0.2514,0.04,,0.007,Mass,0.633,0.03,1,1,0,,19h45m55.15s,296.479776,+49d56m15.7s,49.937683,,14.669,Kepler-band,6018,1.04,0.94,14/05/14
1638,Kepler-51,c,Transit,3,85.312,0.384,0.014,,0.013,Mass,0.803,0.03,1,1,0,,19h45m55.15s,296.479776,+49d56m15.7s,49.937683,,14.669,Kepler-band,6018,1.04,0.94,14/05/14
1639,Kepler-51,d,Transit,3,130.194,0.509,0.008,,0.024,Mass,0.865,0.046,1,1,0,,19h45m55.15s,296.479776,+49d56m15.7s,49.937683,,14.669,Kepler-band,6018,1.04,0.94,14/05/14
1640,Kepler-52,b,Transit,3,7.8773565,,,,8.7,Mass,0.187,,1,1,0,,19h06m57.13s,286.738033,+49d58m32.7s,49.97575,,15.095,Kepler-band,4263,0.54,0.56,14/05/14
1641,Kepler-52,c,Transit,3,16.3850021,,,,10.41,Mass,0.164,,1,1,0,,19h06m57.13s,286.738033,+49d58m32.7s,49.97575,,15.095,Kepler-band,4263,0.54,0.56,14/05/14
1642,Kepler-52,d,Transit,3,36.445171,0.182,,,,,0.174,,0,1,0,,19h06m57.13s,286.738033,+49d58m32.7s,49.97575,,15.095,Kepler-band,4263,0.54,0.56,14/05/14
1643,Kepler-53,b,Transit,3,18.6489525,,,,18.41,Mass,0.258,,1,1,0,,19h21m50.83s,290.461775,+40d33m44.9s,40.562462,,15.386,Kepler-band,5858,0.98,0.89,14/05/14
1644,Kepler-53,c,Transit,3,38.5583038,,,,15.74,Mass,0.283,,1,1,0,,19h21m50.83s,290.461775,+40d33m44.9s,40.562462,,15.386,Kepler-band,5858,0.98,0.89,14/05/14
1645,Kepler-53,d,Transit,3,9.751962,0.091,,,,,0.189,,0,1,0,,19h21m50.83s,290.461775,+40d33m44.9s,40.562462,,15.386,Kepler-band,5858,0.98,0.89,14/05/14
1646,Kepler-54,b,Transit,3,8.0109434,,,,0.92,Mass,0.187,,1,1,0,,19h39m05.75s,294.773939,+43d03m22.7s,43.056295,,15.847,Kepler-band,4252,0.51,0.55,14/05/14
1647,Kepler-54,c,Transit,3,12.0717249,,,,0.37,Mass,0.11,,1,1,0,,19h39m05.75s,294.773939,+43d03m22.7s,43.056295,,15.847,Kepler-band,4252,0.51,0.55,14/05/14
1648,Kepler-54,d,Transit,3,20.995694,0.126,,,,,0.136,,1,1,0,,19h39m05.75s,294.773939,+43d03m22.7s,43.056295,,15.847,Kepler-band,4252,0.51,0.55,14/05/14
1649,Kepler-55,b,Transit,5,27.9481449,,,,1.49,Mass,0.217,,1,1,0,,19h00m40.40s,285.168338,+44d01m35.3s,44.026466,,15.791,Kepler-band,4503,0.62,0.62,14/05/14
1650,Kepler-55,c,Transit,5,42.1516418,,,,1.11,Mass,0.197,,1,1,0,,19h00m40.40s,285.168338,+44d01m35.3s,44.026466,,15.791,Kepler-band,4503,0.62,0.62,14/05/14
1651,Kepler-55,d,Transit,5,2.211099,0.029,,,,,0.142,,1,1,0,,19h00m40.40s,285.168338,+44d01m35.3s,44.026466,,15.791,Kepler-band,4503,0.62,0.62,14/05/14
1652,Kepler-55,e,Transit,5,4.617534,0.048,,,,,0.138,,1,1,0,,19h00m40.40s,285.168338,+44d01m35.3s,44.026466,,15.791,Kepler-band,4503,0.62,0.62,14/05/14
1653,Kepler-55,f,Transit,5,10.198545,0.081,,,,,0.142,,1,1,0,,19h00m40.40s,285.168338,+44d01m35.3s,44.026466,,15.791,Kepler-band,4503,0.62,0.62,14/05/14
1654,Kepler-56,b,Transit,2,10.5016,0.1028,,,0.07,Mass,0.581,0.442,1,1,0,,19h35m02.00s,293.758347,+41d52m18.7s,41.871869,,12.44,Kepler-band,4840,1.32,4.23,14/05/14
1655,Kepler-56,c,Transit,2,21.40239,0.1652,,,0.57,Mass,0.874,1.06,1,1,0,,19h35m02.00s,293.758347,+41d52m18.7s,41.871869,,12.44,Kepler-band,4840,1.32,4.23,14/05/14
1656,Kepler-57,b,Transit,2,5.7293196,,,,18.86,Mass,0.195,,1,1,0,,19h34m33.91s,293.641285,+44d39m25.3s,44.65704,,14.809,Kepler-band,5145,0.83,0.73,14/05/14
1657,Kepler-57,c,Transit,2,11.6092567,,,,6.95,Mass,0.138,,1,1,0,,19h34m33.91s,293.641285,+44d39m25.3s,44.65704,,14.809,Kepler-band,5145,0.83,0.73,14/05/14
1658,Kepler-58,b,Transit,3,10.2184954,,,,1.39,Mass,0.248,,1,1,0,,19h45m26.08s,296.358649,+39d06m54.7s,39.115194,,14.82,Kepler-band,6099,0.95,1.13,14/05/14
1659,Kepler-58,c,Transit,3,15.5741568,,,,2.19,Mass,0.255,,1,1,0,,19h45m26.08s,296.358649,+39d06m54.7s,39.115194,,14.82,Kepler-band,6099,0.95,1.13,14/05/14
1660,Kepler-58,d,Transit,3,40.101371,0.236,,,,,0.262,,0,1,0,,19h45m26.08s,296.358649,+39d06m54.7s,39.115194,,14.82,Kepler-band,6099,0.95,1.13,14/05/14
1661,Kepler-59,b,Transit,2,11.8681707,,,,2.05,Mass,0.098,,1,1,0,,19h08m09.48s,287.039503,+46d38m24.5s,46.640129,,14.307,Kepler-band,6074,1.04,0.94,14/05/14
1662,Kepler-59,c,Transit,2,17.9801235,,,,1.37,Mass,0.177,,1,1,0,,19h08m09.48s,287.039503,+46d38m24.5s,46.640129,,14.307,Kepler-band,6074,1.04,0.94,14/05/14
1663,Kepler-6,b,Transit,1,3.2346996,0.04852,,88.93,0.668,Mass,1.304,0.4,0,1,0,,19h47m20.94s,296.837254,+48d14m23.9s,48.239964,,13.303,Kepler-band,5647,1.21,1.39,15/10/15
1664,Kepler-60,b,Transit,3,7.1316185,,,,0.25,Mass,0.203,,1,1,0,,19h15m50.70s,288.961242,+42d15m54.0s,42.265011,,13.959,Kepler-band,5915,1.11,1.5,14/05/14
1665,Kepler-60,c,Transit,3,8.9193459,,,,0.56,Mass,0.22,,1,1,0,,19h15m50.70s,288.961242,+42d15m54.0s,42.265011,,13.959,Kepler-band,5915,1.11,1.5,14/05/14
1666,Kepler-60,d,Transit,3,11.9016171,,,,0.68,Mass,0.227,,1,1,0,,19h15m50.70s,288.961242,+42d15m54.0s,42.265011,,13.959,Kepler-band,5915,1.11,1.5,14/05/14
1667,Kepler-61,b,Transit,1,59.87756,,0.25,89.8,,,0.192,,0,1,0,,19h41m13.08s,295.304508,+42d28m31.0s,42.47529,,14.995,Kepler-band,4017,0.64,0.62,14/05/14
1668,Kepler-62,b,Transit,5,5.714932,0.0553,,89.2,0.03,Mass,0.117,,0,1,0,,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368,13.725,Kepler-band,4925,0.69,0.64,14/05/14
1669,Kepler-62,c,Transit,5,12.4417,0.0929,,89.7,0.013,Mass,0.048,,0,1,0,,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368,13.725,Kepler-band,4925,0.69,0.64,14/05/14
1670,Kepler-62,d,Transit,5,18.16406,0.12,,89.7,0.044,Mass,0.174,,0,1,0,,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368,13.725,Kepler-band,4925,0.69,0.64,14/05/14
1671,Kepler-62,e,Transit,5,122.3874,0.427,,89.98,0.113,Mass,0.144,,0,1,0,,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368,13.725,Kepler-band,4925,0.69,0.64,14/05/14
1672,Kepler-62,f,Transit,5,267.291,0.718,,89.9,0.11,Mass,0.126,,0,1,0,,18h52m51.06s,283.212747,+45d20m59.5s,45.349865,368,13.725,Kepler-band,4925,0.69,0.64,14/05/14
1673,Kepler-63,b,Transit,1,9.4341505,0.08,0.45,87.806,0.378,Mass,0.545,3,0,1,0,,19h16m54.28s,289.226179,+49d32m53.5s,49.548203,200,12.02,V (Johnson),5576,0.98,0.9,14/05/14
1674,Kepler-65,b,Transit,3,2.15491,0.035,,,,,0.127,,0,1,0,,19h14m45.29s,288.6887,+41d09m04.2s,41.151173,,11.018,Kepler-band,6211,1.25,1.41,14/05/14
1675,Kepler-65,c,Transit,3,5.859944,0.068,,,,,0.23,,1,1,0,,19h14m45.29s,288.6887,+41d09m04.2s,41.151173,,11.018,Kepler-band,6211,1.25,1.41,14/05/14
1676,Kepler-65,d,Transit,3,8.13123,0.084,,,,,0.136,,1,1,0,,19h14m45.29s,288.6887,+41d09m04.2s,41.151173,,11.018,Kepler-band,6211,1.25,1.41,14/05/14
1677,Kepler-66,b,Transit,1,17.815815,0.1352,,,,,0.25,,0,1,0,,19h35m55.58s,293.981569,+46d41m15.9s,46.687748,1107,15.3,V (Johnson),5962,1.04,0.97,14/05/14
1678,Kepler-67,b,Transit,1,15.7259,0.1171,,,,,0.262,,0,1,0,,19h36m36.80s,294.153336,+46d09m59.2s,46.166438,1107,16.4,V (Johnson),5331,0.86,0.78,14/05/14
1679,Kepler-68,b,Transit,3,5.398763,0.0617,0,87.6,0.026,Mass,0.206,3.32,0,1,0,,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,135,9.99,V (Johnson),5793,1.08,1.24,14/05/14
1680,Kepler-68,c,Transit,3,9.605085,0.09059,0,86.93,0.015,Mass,0.085,28,0,1,0,,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,135,9.99,V (Johnson),5793,1.08,1.24,14/05/14
1681,Kepler-68,d,Radial Velocity,3,580,1.4,0.18,,0.947,Msini,,,0,1,0,,19h24m07.75s,291.032305,+49d02m25.0s,49.040272,135,9.99,V (Johnson),5793,1.08,1.24,14/05/14
1682,Kepler-69,b,Transit,2,13.722341,0.094,0.16,89.62,,,0.2,,0,1,0,,19h33m02.63s,293.260938,+44d52m08.0s,44.868896,,14,V (Johnson),5638,0.81,0.93,14/05/14
1683,Kepler-69,c,Transit,2,242.4613,0.64,0.14,89.85,,,0.153,,0,1,0,,19h33m02.63s,293.260938,+44d52m08.0s,44.868896,,14,V (Johnson),5638,0.81,0.93,14/05/14
1684,Kepler-7,b,Transit,1,4.8854892,0.06067,,85.161,0.441,Mass,1.622,0.14,0,1,0,,19h14m19.56s,288.581516,+41d05m23.3s,41.0898,,12.885,Kepler-band,5933,1.36,1.97,15/10/15
1685,Kepler-74,b,Transit,1,7.340711,0.0781,0,87.46,0.63,Mass,0.96,0.88,0,1,0,,19h32m22.21s,293.092525,+41d21m19.9s,41.355523,1330,14.23,V (Johnson),6000,1.18,1.12,29/01/15
1686,Kepler-75,b,Transit,1,8.8849116,0.0818,0.57,89.12,10.1,Mass,1.05,11,0,1,0,,19h24m33.02s,291.137593,+36d34m38.6s,36.577386,1140,15.264,Kepler-band,5200,0.91,0.89,29/01/15
1687,Kepler-76,b,Orbital Brightness Modulation,1,1.5449298,0.0274,,77.55,2.01,Mass,1.36,1.1,0,1,0,,19h36m46.11s,294.192118,+39d37m08.4s,39.619003,,13.308,Kepler-band,6409,1.2,1.32,15/10/15
1688,Kepler-77,b,Transit,1,3.57878087,0.04501,0,88,0.43,Mass,0.96,0.603,0,1,0,,19h18m25.91s,289.607956,+44d20m43.5s,44.345425,570,13.938,Kepler-band,5520,0.95,0.99,14/05/14
1689,Kepler-78,b,Transit,1,0.355,,0,79,0.006,Mass,0.105,5.57,0,1,0,,19h34m58.01s,293.74169,+44d26m54.0s,44.44833,,11.551,Kepler-band,5058,0.76,0.74,14/05/14
1690,Kepler-79,b,Transit,4,13.4845,0.117,0.015,88.78,0.0343,Mass,0.31,1.43,1,1,0,,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,13.914,Kepler-band,6174,1.17,1.3,10/03/16
1691,Kepler-79,c,Transit,4,27.4029,0.187,0.03,89.48,0.019,Mass,0.332,0.62,1,1,0,,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,13.914,Kepler-band,6174,1.17,1.3,10/03/16
1692,Kepler-79,d,Transit,4,52.0902,0.287,0.025,89.93,0.019,Mass,0.639,0.09,1,1,0,,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,13.914,Kepler-band,6174,1.17,1.3,10/03/16
1693,Kepler-79,e,Transit,4,81.0659,0.386,0.012,89.13,0.013,Mass,0.311,0.53,1,1,0,,20h02m04.11s,300.517131,+44d22m53.7s,44.38158,,13.914,Kepler-band,6174,1.17,1.3,10/03/16
1694,Kepler-8,b,Transit,1,3.5224991,0.0474,,83.978,0.59,Mass,1.416,0.27,0,1,0,,18h45m09.15s,281.288118,+42d27m03.9s,42.45108,1330,13.9,V (Johnson),6213,1.21,1.49,15/10/15
1695,Kepler-80,b,Transit,4,7.053,,,,,,0.236,,1,1,0,,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,14.804,Kepler-band,4613,0.72,0.64,14/05/14
1696,Kepler-80,c,Transit,4,9.522,,,,,,0.249,,1,1,0,,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,14.804,Kepler-band,4613,0.72,0.64,14/05/14
1697,Kepler-80,d,Transit,4,3.072186,0.037,,,,,0.155,,1,1,0,,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,14.804,Kepler-band,4613,0.72,0.64,14/05/14
1698,Kepler-80,e,Transit,4,4.645387,0.049,,,,,0.146,,1,1,0,,19h44m27.02s,296.112564,+39d58m43.6s,39.978779,,14.804,Kepler-band,4613,0.72,0.64,14/05/14
1699,Kepler-81,b,Transit,3,5.955,,,,,,0.216,,1,1,0,,19h34m32.87s,293.63695,+42d49m29.9s,42.82497,,15.019,Kepler-band,4500,0.64,0.59,14/05/14
1700,Kepler-81,c,Transit,3,12.04,,,,,,0.211,,1,1,0,,19h34m32.87s,293.63695,+42d49m29.9s,42.82497,,15.019,Kepler-band,4500,0.64,0.59,14/05/14
1701,Kepler-81,d,Transit,3,20.837846,0.128,,,,,0.108,,0,1,0,,19h34m32.87s,293.63695,+42d49m29.9s,42.82497,,15.019,Kepler-band,4500,0.64,0.59,14/05/14
1702,Kepler-82,b,Transit,4,26.444,,,,,,0.357,,1,1,0,,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,15.158,Kepler-band,5428,0.85,0.94,14/05/14
1703,Kepler-82,c,Transit,4,51.538,,,,,,0.477,,1,1,0,,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,15.158,Kepler-band,5428,0.85,0.94,14/05/14
1704,Kepler-82,d,Transit,4,2.382961,0.034,,,,,0.158,,1,1,0,,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,15.158,Kepler-band,5428,0.85,0.94,14/05/14
1705,Kepler-82,e,Transit,4,5.902206,0.063,,,,,0.22,,1,1,0,,19h31m29.61s,292.87339,+42d57m58.1s,42.966137,,15.158,Kepler-band,5428,0.85,0.94,14/05/14
1706,Kepler-83,b,Transit,3,9.77,,,,,,0.252,,1,1,0,,18h48m55.81s,282.232525,+43d39m56.3s,43.665627,,15.777,Kepler-band,4648,0.66,0.59,14/05/14
1707,Kepler-83,c,Transit,3,20.09,,,,,,0.211,,1,1,0,,18h48m55.81s,282.232525,+43d39m56.3s,43.665627,,15.777,Kepler-band,4648,0.66,0.59,14/05/14
1708,Kepler-83,d,Transit,3,5.169796,0.051,,,,,0.173,,0,1,0,,18h48m55.81s,282.232525,+43d39m56.3s,43.665627,,15.777,Kepler-band,4648,0.66,0.59,14/05/14
1709,Kepler-84,b,Transit,5,8.726,,,,,,0.199,,1,1,0,,19h53m00.49s,298.252049,+40d29m45.9s,40.496077,,14.764,Kepler-band,6031,1,1.17,14/05/14
1710,Kepler-84,c,Transit,5,12.883,,,,,,0.211,,1,1,0,,19h53m00.49s,298.252049,+40d29m45.9s,40.496077,,14.764,Kepler-band,6031,1,1.17,14/05/14
1711,Kepler-84,d,Transit,5,4.224537,0.052,,,,,0.123,,0,1,0,,19h53m00.49s,298.252049,+40d29m45.9s,40.496077,,14.764,Kepler-band,6031,1,1.17,14/05/14
1712,Kepler-84,e,Transit,5,27.434389,0.181,,,,,0.232,,0,1,0,,19h53m00.49s,298.252049,+40d29m45.9s,40.496077,,14.764,Kepler-band,6031,1,1.17,14/05/14
1713,Kepler-84,f,Transit,5,44.552169,0.25,,,,,0.196,,0,1,0,,19h53m00.49s,298.252049,+40d29m45.9s,40.496077,,14.764,Kepler-band,6031,1,1.17,14/05/14
1714,Kepler-85,b,Transit,4,8.306,,,,,,0.176,,1,1,0,,19h23m53.62s,290.973429,+45d17m25.1s,45.290318,,14.779,Kepler-band,5436,0.92,0.89,14/05/14
1715,Kepler-85,c,Transit,4,12.513,,,,,,0.194,,1,1,0,,19h23m53.62s,290.973429,+45d17m25.1s,45.290318,,14.779,Kepler-band,5436,0.92,0.89,14/05/14
