pdes,a,e,M,per
73P-AP,3.14413946156757,0.701430092385429,353.5278506404665,5.57520581298437
73P-AQ,3.08794215725399,0.695911908759867,353.1160119123984,5.42640166347363
73P-AR,3.08744810378797,0.695799013016798,350.2237117938292,5.4250994247122
73P-AS,3.139576900192716,.7009701052570073,352.8664861346379,5.56307467730175
73P-AT,3.00135904388845,0.686932227480063,349.8990536028593,5.19978192644555
73P-AU,3.05783304672693,0.692822353452358,349.8441439223119,5.3472299051059
73P-AV,3.06228436373416,0.69335823324,350.1609438825533,5.35891017438435
73P-AW,2.91373418607164,0.67730146390118,349.1189465722792,4.97374020004107
73P-AX,3.05014120644439,0.692470126439069,349.5464523883325,5.32706652712761
73P-AY,2.89370372170499,0.675089956009265,348.8068787861384,4.92254048387186
73P-AZ,2.89390864978339,0.675069986179574,349.2480122686146,4.92306340434966
73P-BA,2.96078483411662,0.682432921372534,349.641239890988,5.09469833149912
73P-BB,2.96762679277048,0.682432921372534,349.5716608708024,5.11236823020815
73P-BC,3.13424236839265,0.700467515087574,353.497734320052,5.54890216767565
73P-BD,2.97944716240244,0.682439213725336,349.8091408149953,5.14294327620725
73P-BE,2.9582410093582,0.682439213725336,349.5444421561689,5.08813390533009
73P-BF,2.98917045822215,0.685673899484921,352.9315188815893,5.16813946145222
73P-BG,2.97971817146176,0.684754805524033,349.306235299396,5.143644991578
73P-BH,2.95948456938239,0.682439213725336,349.2262840613326,5.0913426017245
73P-BI,2.95954219133071,0.682462679481376,352.5033923023544,5.09149129713147
73P-BJ,3.04058323671172,0.691094488235562,349.6481529567639,5.30204668611781
73P-BK,3.04504693747306,0.691542805405763,349.6318261550581,5.31372640270597
73P-BL,3.09141865178814,0.696223718867002,349.8703461752779,5.43556804196274
73P-BM,2.95929756911756,0.682439213725336,349.1548474479109,5.09086005112188
73P-BN,3.04704387959224,0.691771506515135,352.9190712329013,5.31895437314373
73P-BO,3.047706272631,0.691827563127927,352.9104171660001,5.32068888860887
73P-BP,2.95951342725043,0.682453453655532,352.5678957574933,5.09141707025829
73P-BQ,3.05370675559865,0.692453880247705,352.9259732753705,5.33641009487744
73P-BR,2.98432308707744,0.685154134205868,353.0724241337271,5.15557323377108
73P-BS,3.11501747725682,0.698573546172044,353.5860078961267,5.49792655280095
74P,4.159011689561823,.1491585383882555,270.7647282943897,8.48190519290998
75D,3.54314699923032,0.496307395647225,358.0938421757012,6.66947975418123
76P,3.471228107965556,.5385141130913966,113.4462999249071,6.46744781235278
77P,3.617308919458934,.3540972189354261,308.7289233421153,6.87997089710674
78P,3.73590971838216,.4619028596361237,113.6399853231238,7.22109005422868
79P,2.945858611714987,.6185134899509153,5.987205298911507,5.05622102755015
80P,4.021659589584823,.5989902415048468,352.2961693179048,8.06521897446367
81P,3.448111475072858,.5382555635420905,327.0063173876104,6.40295056792781
82P,4.142151524005956,.1228436023814659,45.78576051994936,8.43038046582958
83D,3.33797581090783,0.517209914571475,358.1852118196531,6.09863974906463
84P,3.64129988065612,.4950370873283377,42.93772433397255,6.94852897128151
85P,5.1848871265672986652361,0.7811606261503803994017,313.1875107575854,11.8063909966417
86P,3.604732210953487,.3720888070328248,37.39650887601581,6.84412153910879
87P,3.439988882211404,.3890210684886514,34.66653612875152,6.38033909484806
88P,3.108883474923954,.5630633285248894,47.06901291546103,5.48169501307388
89P,3.7950303750386020773532,0.3992295140228890870659,345.5792320554773,7.39317670961492
90P,6.04223509448231,0.509136733842498,15.38795096243373,14.8526733822416
91P,3.900202625249658,.3290816622224581,24.55618353726403,7.70262859730285
92P,5.358356865937731,.6593254789566613,23.26762816786203,12.4038256630773
93P,4.3912043587897438001732,0.6119295988335800018376,47.08980217124619,9.20203065177523
94P,3.509474721117858,.3645474466609431,312.9699830189154,6.57463095303928
96P,3.033939724939583,.9592118287498192,77.99276065152682,5.28467914883847
97P,4.79909570735725,.4573932742257172,128.5590889656395,10.5134999955919
98P,3.808319341400365,.5605977808221723,27.5372541598409,7.43204344767768
99P,6.150503689944444,.2287716907957943,80.84662334200382,15.2536658124824
100P,3.428287600519328,.4135373716376868,353.7859728983057,6.34781226557504
101P,5.7921529460737,0.594171114197868,4.64250536728102,13.9401752663891
101P-B,5.79977321714315,0.59472156321091,.1135994534185381,13.9676942683486
102P,3.735059835182303,.4729510635048332,24.67529035923729,7.21862610252505
103P,3.475268743304754,.6937804720128784,225.7701522441131,6.47874361345838
104P,3.262001021876274,.6384631301216191,354.1195921816251,5.89161475832869
105P,3.47004826613181,.4090801715603757,58.08508238263528,6.46415074421683
106P,3.758052564073794,.5886970626590886,41.37087076685697,7.28538450496625
108P,3.742538067328224,.5433862742962028,29.34077526964776,7.24031634675239
109P,26.0920694978266,0.963225755046038,7.631696167124212,133.281843840173
110P,3.61358649669657,.3150140794597391,22.27174763892074,6.86935379011257
111P,4.160365902658368,.1096207704078609,359.6946225231546,8.48604821158179
112P,3.532576715247871,.5880891107121575,37.06983589103117,6.63965639824882
113P,3.681617220714808,.4244778524522092,3.940811467318436,7.06425148148293
114P,3.542193505168747,.5553841362061995,43.04266283685447,6.66678770605955
115P,4.259707663751156,.5211645777049814,58.59101536405222,8.7918019263794
116P,3.485256958468291,.3724795893345955,357.1913447215218,6.50669435511887
117P,4.094989939215451,.2539816793211983,75.79965916881847,8.28681151620858
118P,3.462878805693899,.4282051070326322,333.0918387892916,6.44412774028485
119P,4.292462036261698,.2950453641774186,45.80860790049942,8.89340144187707
120P,4.137763681119297,.340813229617001,43.4829148927632,8.41698837236592
121P,4.5970477676472,.1837585083825333,62.65581934941744,9.85659079960933
122P,17.680816651897078628508,0.9627088867609727707019,3.765031967057799,74.3466977284963
123P,3.860744511762061,.4486260518570287,43.33196213066638,7.58603420157642
124P,3.316893805338879,.5039293007848538,36.60659885636425,6.04095433940742
125P,3.127091883587495,.5123227175298782,67.20407197956034,5.52992403963982
126P,5.646476269897362,.6957724986244791,81.89487642320886,13.4175883366531
127P,3.450569402900435,.3607275357804062,334.6551575839263,6.40979814005539
128P-A,4.48815742820982,0.321040052243999,325.56444834641,9.50846309556443
128P-B,4.5127587101054773555119,0.3199662500875177228998,21.63583339799928,9.58674933349649
129P,4.278372420557185,.08529992366081832,52.12035466433725,8.84964972339904
130P,3.543602890259892,.411707591006842,92.30573290980611,6.67076702244711
131P,3.679142246300213,.3432245787360794,78.99002033324929,7.05712924338311
132P,4.079419111816716,.5323089959541165,21.80149120169611,8.23959170226332
134P,6.239163761283836,.5878685932612639,36.45084271510884,15.5846760593173
135P,3.83020881258833,0.289567735861711,338.6215750635425,7.49621232286181
136P,4.203111220476629,.2912348645774915,341.781197938862,8.61716731712027
137P,4.504629950681258,.5761005783395901,311.3030107563667,9.5608583162704
138P,3.621812002614595,.5305272289353777,39.23017200425817,6.89282190939713
139P,4.5187566335433686504075,0.2469714049832185953636,38.639099620829,9.60586835604251
140P,6.39724825593164,0.691761661370916,.437851279495995,16.1807262009553
141P,3.021375791347877,.7481709500936971,8.065994449225769,5.25188635592692
141P-A,3.01289341549972,0.750123959058633,9.564830913755152,5.22978523604551
141P-D,3.00880914460354,0.751062411225747,359.6307502791839,5.21915461480777
142P,4.959563010870304,.4982387835727335,102.8877554559597,11.0451932985843
143P,4.301753014606733,.4099585163983387,348.4918579831569,8.92229153877948
144P,3.8661654111329148975073,0.6277946381861101432519,357.8140625424916,7.60201721722905
145P,4.140996048772898,.5417922616394574,184.8634995358683,8.42685316253822
146P,4.0267485328550911560796,0.6479184283051104831230,357.5184738449497,8.08053221347584
147P,3.8070857912160049885130,0.2760252083897379860033,9.172577076233985,7.4284327777262
148P,3.673943594210344,.5394647052225616,356.8113018584882,7.0421768736838
149P,4.334089695239168,.3883606876177078,14.61885710929453,9.02308491877208
150P,3.892624315166448,.545888938363647,352.2993835838006,7.68018955415569
151P,5.810587056503407,.5701438061117514,206.9132070665588,14.0067772068939
152P,4.493696904571612,.3071587132794293,89.14652197936175,9.52607215558652
153P,51.213581137145759214490,0.9900975228715980236415,.5594094752361835,366.510077153951
154P,4.870270090159263,.6730436666766748,57.10494939505089,10.7482503128611
155P,6.63432431213906,0.726672673927576,10.21881607437063,17.0884726977508
156P,3.595982638828496,.5595281646349175,57.86268555536307,6.81921811533971
157P,3.409022576712262,.6016267402517835,332.6984476032763,6.29438087082045
158P,4.719875745387464,.02888892603607365,221.7467834881506,10.2542535253893
159P,5.896289124614977,.3808236713487229,351.1880662866973,14.3178022137962
160P,3.973597606755107,.4789346679581795,231.4306632597776,7.92107326732693
161P,7.72123378622071,.8350738462769237,323.5772227049488,21.4554810301242
162P,3.049289147257538,.5966731625636438,119.0206012421724,5.3248345031032
163P,3.762261685581952,.4532292334851692,45.1358486292045,7.29762767596445
164P,3.648714806901318,.5413243236729088,271.5297026055949,6.96976412856103
165P,18.04988797793641,.6215837574912003,5.18229338671845,76.6866857184551
166P,13.88283939168301,.3831014579229702,7.700857012594934,51.7279957246515
167P,16.1408551156671,.2699551843085261,16.20278505794441,64.8482127275767
168P,3.623703022347536,.609558895880292,23.152291992926,6.89822093210036
169P,2.604263020070025,.7669213009105551,158.4168571978383,4.20276849888204
170P,4.198170054508219,.3043031432899574,28.1972526482166,8.60197630670805
171P,3.552070610991009,.5031130574217229,46.58905322028546,6.69469179269914
172P,3.512397531572851,.362056972553197,295.6662150347585,6.58284602883184
173P,5.706964720495605,.2616668314758032,312.9485131182346,13.6337706518695
175P,3.490260973533814,.421618543794811,210.2508666913887,6.52071252415217
177P,24.33728792070278,.9545011068589594,356.4397738827332,120.065013021883
178P,3.668188678565818,.473842542348582,68.05002437485736,7.02563691133297
179P,5.892900594038868,.3073410789337982,282.510634751329,14.3054615690836
180P,3.858630619918548,.355109524747633,319.8083409476832,7.57980462830386
181P,3.839018373459053,.7073228278805144,11.75008853224812,7.52208935718543
182P,2.931215275854553,.6663423299937125,184.0620435516912,5.01856756234231
183P,4.510118161405117,.1365763752881888,288.3588786150248,9.57833632826248
184P,3.525555300846194,.6047574969528612,188.2510204375339,6.61987058343826
185P,3.099699187747567,.6993210375147131,62.38997669552067,5.45742186458407
186P,4.831985872197205,.1175909231262562,333.5038619843111,10.6217649340403
187P,4.452956038241505,.1701182218624886,284.1769502005516,9.39681796174653
188P,4.367933465510861,.4156143236868653,315.8282741837955,9.12897933136948
189P,2.920510268004104,.5967955466821282,46.5143553186676,4.9911004270027
190P,4.237966404333134,.5205267741318643,332.9756496936794,8.72457874252129
